  PID  PPID STAT  %CPU %MEM     ELAPSED COMM
  615     1 Ss     0.0  0.0 01-16:48:40 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  616     1 Ss     0.0  0.0 01-16:48:40 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  619     1 Ss     3.8  0.0 01-16:48:40 /System/Library/Audio/Plug-Ins/usbaudio.bundle/Contents/MacOS/usbaudiod
  620     1 Ss     0.0  0.0 01-16:48:40 /usr/libexec/bootinstalld
  621     1 Ss     0.8  0.0 01-16:48:40 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN
  622     1 Ss     0.0  0.0 01-16:48:40 Core Audio Driver (ParrotAudioPlugin.driver)
  623     1 S      0.0  0.0 01-16:48:40 /usr/libexec/containermanagerd
  624     1 Ss     0.0  0.0 01-16:48:40 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  625     1 Ss     0.0  0.0 01-16:48:40 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  630     1 S      0.0  0.0 01-16:48:40 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  632     1 S      0.0  0.0 01-16:48:40 /usr/sbin/distnoted
  635     1 S      0.0  0.0 01-16:48:40 /usr/libexec/secinitd
  636     1 S      0.0  0.0 01-16:48:40 /usr/sbin/cfprefsd
  637     1 Ss     0.0  0.0 01-16:48:40 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
  638     1 S      0.0  0.0 01-16:48:40 /usr/libexec/trustd
  639     1 Ss     0.0  0.0 01-16:48:40 /usr/libexec/sysmond
  640     1 S      0.0  0.0 01-16:48:40 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  641     1 S      0.0  0.0 01-16:48:40 /usr/libexec/containermanagerd
  643   361 S      0.0  0.0 01-16:48:39 /usr/sbin/systemstats
  649     1 Ss     0.0  0.0 01-16:48:39 /usr/libexec/applekeystored
  650     1 S      0.0  0.0 01-16:48:39 /usr/sbin/distnoted
  655     1 Ss     0.0  0.0 01-16:48:39 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
  656     1 S      0.0  0.0 01-16:48:39 /usr/libexec/secd
  657     1 Ss     0.0  0.0 01-16:48:39 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
  658     1 S      0.8  0.0 01-16:48:38 /usr/sbin/cfprefsd
  659     1 Ss     0.0  0.0 01-16:48:38 /usr/libexec/rtcreportingd
  660     1 Ss     0.0  0.0 01-16:48:38 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  661     1 Ss     0.0  0.0 01-16:48:38 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
  662     1 Ss     0.0  0.0 01-16:48:38 /usr/libexec/findmydeviced
  663     1 Ss     0.0  0.0 01-16:48:38 /System/Library/PrivateFrameworks/FindMyDevice.framework/XPCServices/FindMyDeviceSharedConfigurationXPCService.xpc/Contents/MacOS/FindMyDeviceSharedConfigurationXPCService
  664     1 S      0.0  0.0 01-16:48:38 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  668     1 S      0.0  0.0 01-16:48:38 /usr/libexec/UserEventAgent
  670     1 Ss     0.0  0.0 01-16:48:38 /usr/libexec/gamecontrollerd
  672     1 Ss     0.0  0.0 01-16:48:38 /usr/libexec/nfcd
  673     1 Ss     0.0  0.0 01-16:48:38 /usr/libexec/seld
  674     1 Ss     0.0  0.0 01-16:48:38 /usr/libexec/uarpd
  677     1 S      0.0  0.0 01-16:48:38 /usr/libexec/neagent
  680     1 S      0.0  0.0 01-16:48:38 /usr/libexec/knowledge-agent
  682     1 S      0.0  0.0 01-16:48:38 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  688     1 S      0.0  0.0 01-16:48:38 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  689     1 S      0.0  0.0 01-16:48:38 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  690     1 S      0.0  0.0 01-16:48:38 /usr/sbin/universalaccessd
  691     1 S      0.0  0.0 01-16:48:38 /usr/libexec/ContinuityCaptureAgent
  692     1 S      0.0  0.1 01-16:48:38 /Library/SystemExtensions/A2AC559E-5244-41C2-B028-3EE6676396B0/com.insta360.linkcontroller.camera-extension.systemextension/Contents/MacOS/com.insta360.linkcontroller.camera-extension
  693     1 S      0.0  0.0 01-16:48:38 /usr/libexec/pboard
  694     1 S      0.0  0.0 01-16:48:38 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  696     1 S      0.0  0.0 01-16:48:38 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  699     1 S      0.0  0.0 01-16:48:38 /usr/libexec/lsd
  701     1 Ss     0.0  0.0 01-16:48:38 /usr/libexec/wifip2pd
  704     1 S      0.0  0.0 01-16:48:37 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  709     1 S      0.0  0.1 01-16:48:37 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  710     1 S      0.0  0.0 01-16:48:37 /usr/libexec/linkd
  711     1 S      0.0  0.0 01-16:48:37 /usr/libexec/containermanagerd
  712     1 S      0.0  0.0 01-16:48:37 /usr/libexec/secinitd
  713     1 S      0.0  0.0 01-16:48:37 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  714     1 S      0.3  0.0 01-16:48:37 /usr/libexec/trustd
  715     1 S      0.0  0.0 01-16:48:37 /usr/libexec/rapportd
  716     1 S      0.0  0.0 01-16:48:37 /usr/libexec/nsurlsessiond
  718     1 S      0.0  0.0 01-16:48:37 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  719     1 S      0.0  0.0 01-16:48:37 /usr/sbin/distnoted
  720     1 S      0.0  0.0 01-16:48:37 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  721     1 S      0.0  0.1 01-16:48:37 /Applications/1Password.app/Contents/MacOS/1Password
  722     1 S      0.0  0.0 01-16:48:37 /System/Library/CoreServices/talagentd
  723     1 Ss     0.0  0.0 01-16:48:37 /System/Library/PrivateFrameworks/NearFieldPrivateServices.framework/Versions/A/XPCServices/NFStorageServer.xpc/Contents/MacOS/NFStorageServer
  724     1 S      0.0  0.0 01-16:48:37 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  725     1 S      0.0  0.0 01-16:48:37 /usr/sbin/distnoted
  726     1 S      0.0  0.0 01-16:48:37 /usr/sbin/usernoted
  727     1 S      0.6  0.4 01-16:48:37 /Applications/ChatGPT.app/Contents/MacOS/ChatGPT
